
Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
ucs, 0, 0, 0, 2375, 60.03522539138794,1,,0 7 1 4 3 5 6 2
ucs, 1, 0, 0, 2365, 60.03762483596802,1,,3 1 2 4 6 5 7 0
ucs, 2, 0, 0, 2300, 60.058995485305786,1,,7 2 4 3 1 0 6 5
ucs, 3, 0, 0, 2290, 60.05065846443176,1,,6 1 3 2 7 5 0 4
ucs, 4, 0, 0, 2291, 60.00526237487793,1,,7 6 2 3 1 0 4 5
ucs, 5, 0, 0, 2355, 60.035595655441284,1,,1 6 7 5 0 3 2 4
ucs, 6, 0, 0, 2323, 60.02818489074707,1,,5 0 1 6 7 3 4 2
ucs, 7, 10, 8, 1826, 37.44503998756409,0,,5 2 3 7 1 4 6 0
ucs, 8, 0, 0, 2320, 60.017289876937866,1,,4 0 2 3 7 1 6 5
ucs, 9, 0, 0, 2363, 60.01411008834839,1,,5 3 1 7 6 4 2 0
ucs, 10, 0, 0, 2418, 60.023133277893066,1,,6 7 1 4 0 3 5 2
ucs, 11, 0, 0, 2357, 60.008551359176636,1,,2 1 4 3 5 7 0 6
ucs, 12, 0, 0, 2336, 60.00023674964905,1,,7 0 1 6 3 2 4 5
ucs, 13, 0, 0, 2381, 60.06637001037598,1,,5 1 0 6 7 3 4 2
ucs, 14, 0, 0, 2397, 60.03680896759033,1,,0 2 1 3 6 5 4 7
ucs, 15, 0, 0, 2381, 60.01309156417847,1,,6 3 7 1 4 0 5 2
ucs, 16, 0, 0, 2403, 60.01941514015198,1,,3 7 4 1 0 2 6 5
ucs, 17, 9, 7, 1044, 11.559887170791626,0,,5 3 6 0 2 1 4 7
ucs, 18, 0, 0, 2373, 60.053266286849976,1,,4 1 0 6 7 2 3 5
ucs, 19, 0, 0, 2397, 60.03936743736267,1,,7 5 3 0 2 6 4 1
ucs, 20, 10, 6, 1364, 20.1862633228302,0,,5 2 3 0 6 1 7 4
ucs, 21, 0, 0, 2402, 60.05122447013855,1,,0 5 3 1 2 7 6 4
ucs, 22, 8, 8, 381, 1.6341354846954346,0,,3 5 7 2 1 4 0 6
ucs, 23, 0, 0, 2398, 60.050065755844116,1,,5 3 7 1 2 6 0 4
ucs, 24, 0, 0, 2373, 60.03677940368652,1,,5 2 0 6 4 3 7 1
ucs, 25, 0, 0, 2418, 60.00867056846619,1,,0 2 6 5 1 3 7 4
ucs, 26, 0, 0, 2419, 60.03546643257141,1,,6 4 5 3 0 7 2 1
ucs, 27, 0, 0, 2397, 60.04038381576538,1,,7 1 4 2 6 5 0 3
ucs, 28, 0, 0, 2417, 60.03225898742676,1,,1 4 5 3 6 2 7 0
ucs, 29, 0, 0, 2404, 60.00745749473572,1,,4 5 3 2 6 1 7 0
ucs, 30, 0, 0, 2358, 60.03068709373474,1,,7 6 3 0 1 2 4 5
ucs, 31, 0, 0, 2370, 60.00570321083069,1,,1 0 5 6 7 2 3 4
ucs, 32, 0, 0, 2391, 60.03317427635193,1,,5 6 0 2 3 1 7 4
ucs, 33, 0, 0, 2410, 60.02637219429016,1,,1 6 5 7 0 4 3 2
ucs, 34, 0, 0, 2345, 60.017162799835205,1,,5 3 1 7 6 0 2 4
ucs, 35, 0, 0, 2393, 60.02613711357117,1,,6 1 3 4 0 5 2 7
ucs, 36, 0, 0, 2360, 60.06136727333069,1,,0 4 5 7 6 3 1 2
ucs, 37, 0, 0, 2406, 60.02650547027588,1,,2 5 7 6 1 4 3 0
ucs, 38, 0, 0, 2384, 60.03850269317627,1,,7 5 4 1 3 0 2 6
ucs, 39, 0, 0, 2392, 60.04404664039612,1,,6 5 0 2 7 1 4 3
ucs, 40, 0, 0, 2394, 60.02711272239685,1,,4 7 2 5 3 1 6 0
ucs, 41, 0, 0, 2394, 60.07041835784912,1,,0 1 4 2 6 3 7 5
ucs, 42, 0, 0, 2417, 60.019383668899536,1,,7 6 2 3 0 1 4 5
ucs, 43, 0, 0, 2399, 60.03079438209534,1,,0 1 7 4 3 5 2 6
ucs, 44, 0, 0, 2408, 60.0307137966156,1,,2 3 6 0 5 7 1 4
ucs, 45, 0, 0, 2374, 60.03485918045044,1,,6 0 5 2 7 4 3 1
ucs, 46, 0, 0, 2380, 60.00550556182861,1,,4 6 2 5 7 1 0 3
ucs, 47, 0, 0, 2391, 60.040088176727295,1,,7 6 4 2 0 5 1 3
ucs, 48, 0, 0, 2370, 60.04554104804993,1,,4 0 5 1 6 2 7 3
ucs, 49, 0, 0, 2378, 60.005603551864624,1,,2 7 5 6 1 3 4 0
Total-ucs, , 37,29, 113982, 2832.2504999637604,46
Average-ucs, , 9.25,7.25, 2279.64, 708.0626249909401,0.92

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
gbfsH1, 0, 28, 19, 60, 0.05615973472595215,0,,0 7 1 4 3 5 6 2
gbfsH1, 1, 30, 18, 69, 0.07300305366516113,0,,3 1 2 4 6 5 7 0
