
Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
ucs, 0, 2, 3, 9, 0.002992391586303711,0,,1 3 5 7 2 0 4 6
ucs, 1, 3, 3, 10, 0.022938013076782227,0,,1 2 3 4 6 0 7 5
ucs, 2, 4, 3, 20, 0.027929306030273438,0,,2 3 5 7 0 4 6 1
ucs, 3, 4, 4, 26, 0.030916929244995117,0,,5 2 3 1 0 6 7 4
ucs, 4, 5, 4, 38, 0.030916452407836914,0,,5 2 3 4 6 0 7 1
Total-ucs, , 18,17, 103, 0.1156930923461914,0
Average-ucs, , 3.6,3.4, 20.6, 0.02313861846923828,0.0

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
ucs, 0, 2, 3, 9, 0.004988193511962891,0,,1 3 5 7 2 0 4 6
ucs, 1, 3, 3, 10, 0.0049860477447509766,0,,1 2 3 4 6 0 7 5
ucs, 2, 4, 3, 20, 0.007985830307006836,0,,2 3 5 7 0 4 6 1
ucs, 3, 4, 4, 26, 0.011967897415161133,0,,5 2 3 1 0 6 7 4
ucs, 4, 5, 4, 38, 0.024932146072387695,0,,5 2 3 4 6 0 7 1
Total-ucs, , 18,17, 103, 0.05486011505126953,0
Average-ucs, , 3.6,3.4, 20.6, 0.010972023010253906,0.0

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
gbfsH0, 0, 2, 3, 6, 0.016953468322753906,0,,1 3 5 7 2 0 4 6
gbfsH0, 1, 3, 3, 4, 0.000997304916381836,0,,1 2 3 4 6 0 7 5
gbfsH0, 2, 4, 3, 4, 0.000997781753540039,0,,2 3 5 7 0 4 6 1
gbfsH0, 3, 4, 4, 15, 0.0069806575775146484,0,,5 2 3 1 0 6 7 4
gbfsH0, 4, 5, 4, 11, 0.003989458084106445,0,,5 2 3 4 6 0 7 1
Total-gbfsH0, , 18,17, 40, 0.029918670654296875,0
Average-gbfsH0, , 3.6,3.4, 8.0, 0.005983734130859375,0.0

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
astarH0, 0, 2, 3, 5, 0.02194046974182129,0,,1 3 5 7 2 0 4 6
astarH0, 1, 3, 3, 9, 0.01795172691345215,0,,1 2 3 4 6 0 7 5
astarH0, 2, 4, 3, 12, 0.004986286163330078,0,,2 3 5 7 0 4 6 1
astarH0, 3, 4, 4, 21, 0.022940635681152344,0,,5 2 3 1 0 6 7 4
astarH0, 4, 5, 4, 27, 0.030916929244995117,0,,5 2 3 4 6 0 7 1
Total-astarH0, , 18,17, 74, 0.09873604774475098,0
Average-astarH0, , 3.6,3.4, 14.8, 0.019747209548950196,0.0
